PC1,PC2,Name
-6.255986893996526,7.174861014988397,V. van Dijk
-2.5390811983987573,8.42816970107657,K. Koulibaly
-4.085470016849349,7.282866300749784,G. Chiellini
-7.941189550095599,5.4015275345308025,Sergio Ramos
-5.016806641270869,6.876941976904707,Piqué
-4.011897638367366,6.4464586594485835,D. Godín
-5.283250671962164,6.388633712439599,A. Laporte
-5.742639425215851,5.657318862765396,Thiago Silva
-6.324027740697438,5.72807740736879,J. Vertonghen
-5.856348458675923,6.414782877219199,M. Hummels
-5.266193439312931,6.222825405917502,T. Alderweireld
-8.680037566517255,2.036134295156733,Jordi Alba
-5.470116155243152,5.5700485723586395,Marquinhos
-3.0711859319230146,6.344837800190405,M. Škriniar
-6.14329000897033,5.072188390631978,S. Umtiti
-8.643036049394606,2.448020553683567,J. Kimmich
-5.595199941121013,5.780831066992131,L. Bonucci
-4.706850727989522,6.052348604380144,M. de Ligt
-4.053513794123513,5.9175466686447695,R. Varane
-1.4020806703365685,7.519695137258259,N. Süle
-6.861384441040157,2.0389677872804417,A. Robertson
-2.2070340375684356,6.7846063710204945,J. Giménez
-4.774593478636952,5.2495807321098855,C. Lenglet
-1.1311032841066984,7.344967412377839,K. Manolas
-8.843954051603458,2.4806347508271758,D. Alaba
-6.627151711101549,3.658639014745251,Carvajal
-9.57453227831565,2.351992239124808,Marcelo
-7.851363090577121,3.639863768437046,Alex Sandro
-7.994157639227684,1.6010098821225196,João Cancelo
-5.560083403273233,4.735500720956906,L. Hernández
-8.562080834572663,2.2783198677098873,Alex Telles
-3.107711199670366,5.877225974403234,S. de Vrij
-3.3126462370134435,6.16448380681264,Pepe
-2.7556657297710743,6.343403756391869,Sokratis
-4.42928989713866,6.430601032934338,J. Boateng
-6.271316019558176,4.233049086811687,Azpilicueta
-6.805165270964712,3.5033850487708804,K. Walker
-2.4267054254352014,6.891296856368057,Felipe
-2.320272063054857,6.137384455617893,A. Romagnoli
-7.084319892412726,1.3698553469685517,T. Alexander-Arnold
-1.1677275056514036,7.224499797459644,J. Tah
-3.9231390358146276,5.535790214127648,M. Akanji
-4.035933710356397,4.760384140969837,J. Stones
-7.878271114459826,1.5342939960535273,Grimaldo
-2.7320855269827495,5.734673759372912,D. Sánchez
-7.861568027160967,2.304694130253849,L. Digne
-3.2703868443739865,4.71619229006403,D. Djené
-5.805301390212155,3.6353916088254565,Bartra
-3.4621231480431396,6.294960461117677,V. Kompany
-2.2136694819796126,6.139169204717836,Raúl Albiol
-3.155959789941866,5.113428517022222,Miranda
-3.4085161838940317,6.327715383620676,E. Garay
-5.847632767062201,4.873194133921774,David Luiz
-3.578600789318301,5.757870089243929,N. Otamendi
-3.3385654758309475,6.531541055512914,F. Acerbi
-3.063870177932986,4.658086507528956,Josué Chiamulera
-3.733171065423409,5.323189713340996,P. Kimpembe
-6.226267612877757,1.777221264103495,Nélson Semedo
-2.1146911145770075,5.58144476454786,D. Rugani
-2.8880157498266303,5.688204353076632,J. Matip
-0.9078623080692176,6.053085653507361,S. Savić
-2.9428863033797796,5.386641124984979,A. Rüdiger
-7.121505769648736,1.6833727909888088,Ricardo Pereira
-6.062146808946591,2.904054071907566,N. Tagliafico
-6.783809532299359,1.5294812202513186,Sergi Roberto
-5.3747883983967455,2.545534105012822,N. Schulz
-3.3228580687123377,4.798999448591849,Nacho Fernández
-3.9497031660835513,4.595093223156499,Gabriel Paulista
-6.849609482228899,2.3985328513781226,J. Roussillon
-2.8979573962135454,6.326940869329395,H. Maguire
-2.950384623349886,5.622594693032073,S. Kjær
-3.4583541317260242,5.743724245700452,V. Ćorluka
-7.529763625860281,3.655290564734811,A. Kolarov
-5.799165171964853,3.294952957253034,Mário Fernandes
-1.0984557452867456,7.102666218008351,S. Coates
-6.603244448995756,3.747573080552246,T. Meunier
-3.7260886438933634,4.2965774039704545,Juiano Mestres
-0.671627788636525,3.817533480319078,E. Schetino
-4.204320708228507,3.8099103199614337,Éder Militão
-5.2346036107472464,3.9910392905117216,V. Lindelöf
-6.94795845662933,0.5878026833909678,Gayà
-6.295735978691885,3.022880160118942,L. Shaw
-0.6942568895009782,6.279971222196687,W. Orban
-3.676990205343077,4.61854700761958,M. Ginter
-1.4472767453647868,5.258103237608387,A. Izzo
-4.9738494290071875,4.908289664977996,J. Mathieu
-2.7515421797535367,5.057134172892492,L. Koscielny
-0.28809464616620944,6.764783666102318,Jardel
-0.821333788999144,5.884990473381807,José Fonte
-6.167289105576353,3.8333998418085256,L. Piszczek
-3.016264059123539,5.321206532889051,B. Höwedes
-3.8352062194314573,4.2103527852934715,N. Nkoulou
-6.936491263866012,3.121116159490428,Marcos Alonso
-5.654028562838157,4.089070433436605,André Almeida
-8.546258451718812,0.6943963842051489,A. Florenzi
-1.0688765532380136,3.5790714737042277,J. Frendado
-2.434120299560384,4.301449804423575,J. Gomez
-1.9071144653106884,4.964355485368467,A. Christensen
-4.851854535875141,3.70316539061075,Mario Hermoso
-0.8471249800460254,5.685022588407071,M. Caldara
-6.800662394074775,1.9148200714586372,F. Mendy
-1.5889511535618244,5.6727877536590094,Rúben Dias
-5.2041732299889425,1.454764104959543,Héctor Bellerín
-5.435729550706934,3.5091837814018025,B. Mendy
-5.482575037440503,1.1007112728355941,Odriozola
-2.470296586394602,5.600370457920719,K. Zouma
-4.886969859038896,3.13392749276535,N. Aké
-4.408615768103466,3.1844730450102117,E. Hysaj
-3.0383889927639216,4.534761753308956,Yeray
-6.919727485440446,2.5035150701530573,R. Rodríguez
-3.9794040821333727,3.558005580572132,A. Mandi
